date,capacity_percent,source
2026-05-31 17:04:37,100.00,linux_sysfs_charge
2026-05-31 17:05:37,100.00,linux_sysfs_charge
2026-05-31 17:06:37,99.00,linux_sysfs_charge
2026-05-31 17:07:37,98.00,linux_sysfs_charge
2026-05-31 17:08:37,98.00,linux_sysfs_charge
2026-05-31 17:09:37,97.00,linux_sysfs_charge
2026-05-31 17:10:37,96.00,linux_sysfs_charge
2026-05-31 17:11:37,95.00,linux_sysfs_charge
2026-05-31 17:12:37,94.00,linux_sysfs_charge
2026-05-31 17:13:37,94.00,linux_sysfs_charge
2026-05-31 17:14:37,93.00,linux_sysfs_charge
2026-05-31 17:15:37,92.00,linux_sysfs_charge
2026-05-31 17:16:37,91.00,linux_sysfs_charge
2026-05-31 17:17:37,90.00,linux_sysfs_charge
2026-05-31 17:18:37,90.00,linux_sysfs_charge
2026-05-31 17:19:37,89.00,linux_sysfs_charge
2026-05-31 17:20:37,88.00,linux_sysfs_charge
2026-05-31 17:21:37,87.00,linux_sysfs_charge
2026-05-31 17:22:37,87.00,linux_sysfs_charge
2026-05-31 17:23:37,86.00,linux_sysfs_charge
2026-05-31 17:24:37,85.00,linux_sysfs_charge
2026-05-31 17:25:37,84.00,linux_sysfs_charge
2026-05-31 17:26:37,83.00,linux_sysfs_charge
2026-05-31 17:27:37,83.00,linux_sysfs_charge
2026-05-31 17:28:37,82.00,linux_sysfs_charge
2026-05-31 17:29:37,81.00,linux_sysfs_charge
2026-05-31 17:30:37,80.00,linux_sysfs_charge
2026-05-31 17:31:37,80.00,linux_sysfs_charge
2026-05-31 17:32:37,79.00,linux_sysfs_charge
2026-05-31 17:33:37,78.00,linux_sysfs_charge
2026-05-31 17:34:37,77.00,linux_sysfs_charge
2026-05-31 17:35:37,76.00,linux_sysfs_charge
2026-05-31 17:36:37,76.00,linux_sysfs_charge
2026-05-31 17:37:37,75.00,linux_sysfs_charge
2026-05-31 17:38:37,74.00,linux_sysfs_charge
2026-05-31 17:39:37,73.00,linux_sysfs_charge
2026-05-31 17:40:37,73.00,linux_sysfs_charge
2026-05-31 17:41:37,72.00,linux_sysfs_charge
2026-05-31 17:42:37,71.00,linux_sysfs_charge
2026-05-31 17:43:37,70.00,linux_sysfs_charge
2026-05-31 17:44:37,69.00,linux_sysfs_charge
2026-05-31 17:45:37,69.00,linux_sysfs_charge
2026-05-31 17:46:37,68.00,linux_sysfs_charge
2026-05-31 17:47:37,67.00,linux_sysfs_charge
2026-05-31 17:48:37,66.00,linux_sysfs_charge
2026-05-31 17:49:37,66.00,linux_sysfs_charge
2026-05-31 17:50:37,65.00,linux_sysfs_charge
2026-05-31 17:51:37,64.00,linux_sysfs_charge
2026-05-31 17:52:37,63.00,linux_sysfs_charge
2026-05-31 17:53:37,62.00,linux_sysfs_charge
2026-05-31 17:54:37,62.00,linux_sysfs_charge
2026-05-31 17:55:37,61.00,linux_sysfs_charge
2026-05-31 17:56:37,60.00,linux_sysfs_charge
2026-05-31 17:57:37,59.00,linux_sysfs_charge
2026-05-31 17:58:37,59.00,linux_sysfs_charge
2026-05-31 17:59:37,58.00,linux_sysfs_charge
2026-05-31 18:00:37,57.00,linux_sysfs_charge
2026-05-31 18:01:37,56.00,linux_sysfs_charge
2026-05-31 18:02:37,55.00,linux_sysfs_charge
2026-05-31 18:03:37,55.00,linux_sysfs_charge
2026-05-31 18:04:37,54.00,linux_sysfs_charge
2026-05-31 18:05:37,53.00,linux_sysfs_charge
2026-05-31 18:06:37,52.00,linux_sysfs_charge
2026-05-31 18:07:37,52.00,linux_sysfs_charge
2026-05-31 18:08:37,51.00,linux_sysfs_charge
2026-05-31 18:09:37,50.00,linux_sysfs_charge
2026-05-31 18:10:37,49.00,linux_sysfs_charge
2026-05-31 18:11:37,49.00,linux_sysfs_charge
2026-05-31 18:12:37,48.00,linux_sysfs_charge
2026-05-31 18:13:37,47.00,linux_sysfs_charge
2026-05-31 18:14:37,46.00,linux_sysfs_charge
2026-05-31 18:15:37,45.00,linux_sysfs_charge
2026-05-31 18:16:37,45.00,linux_sysfs_charge
2026-05-31 18:17:37,44.00,linux_sysfs_charge
2026-05-31 18:18:37,43.00,linux_sysfs_charge
2026-05-31 18:19:37,42.00,linux_sysfs_charge
2026-05-31 18:20:37,42.00,linux_sysfs_charge
2026-05-31 18:21:37,41.00,linux_sysfs_charge
2026-05-31 18:22:37,40.00,linux_sysfs_charge
2026-05-31 18:23:37,39.00,linux_sysfs_charge
2026-05-31 18:24:37,39.00,linux_sysfs_charge
2026-05-31 18:25:37,38.00,linux_sysfs_charge
2026-05-31 18:26:37,37.00,linux_sysfs_charge
2026-05-31 18:27:37,36.00,linux_sysfs_charge
2026-05-31 18:28:37,35.00,linux_sysfs_charge
2026-05-31 18:29:37,35.00,linux_sysfs_charge
2026-05-31 18:30:37,34.00,linux_sysfs_charge
2026-05-31 18:31:37,33.00,linux_sysfs_charge
2026-05-31 18:32:37,32.00,linux_sysfs_charge
2026-05-31 18:33:37,32.00,linux_sysfs_charge
2026-05-31 18:34:37,31.00,linux_sysfs_charge
2026-05-31 18:35:37,30.00,linux_sysfs_charge
2026-05-31 18:36:37,29.00,linux_sysfs_charge
2026-05-31 18:37:37,28.00,linux_sysfs_charge
2026-05-31 18:38:37,31.00,linux_sysfs_charge
2026-05-31 18:39:37,34.00,linux_sysfs_charge
2026-05-31 18:40:37,38.00,linux_sysfs_charge
2026-05-31 18:41:37,41.00,linux_sysfs_charge
2026-05-31 18:42:37,44.00,linux_sysfs_charge
2026-05-31 18:43:37,47.00,linux_sysfs_charge
2026-05-31 18:44:37,50.00,linux_sysfs_charge
2026-05-31 18:45:37,52.00,linux_sysfs_charge
2026-05-31 18:46:37,55.00,linux_sysfs_charge
2026-05-31 18:47:37,57.00,linux_sysfs_charge
2026-05-31 18:48:37,59.00,linux_sysfs_charge
2026-05-31 18:49:37,61.00,linux_sysfs_charge
2026-05-31 18:50:37,62.00,linux_sysfs_charge
2026-05-31 18:51:37,64.00,linux_sysfs_charge
2026-05-31 18:52:37,66.00,linux_sysfs_charge
2026-05-31 18:53:37,67.00,linux_sysfs_charge
2026-05-31 18:54:37,68.00,linux_sysfs_charge
2026-05-31 18:55:37,70.00,linux_sysfs_charge
2026-05-31 18:56:37,71.00,linux_sysfs_charge
2026-05-31 18:57:37,72.00,linux_sysfs_charge
2026-05-31 18:58:37,73.00,linux_sysfs_charge
2026-05-31 18:59:37,74.00,linux_sysfs_charge
2026-05-31 19:00:37,76.00,linux_sysfs_charge
2026-05-31 19:01:37,77.00,linux_sysfs_charge
2026-05-31 19:02:37,78.00,linux_sysfs_charge
2026-05-31 19:03:37,79.00,linux_sysfs_charge
2026-05-31 19:04:37,80.00,linux_sysfs_charge
2026-05-31 19:05:37,82.00,linux_sysfs_charge
2026-05-31 19:06:37,83.00,linux_sysfs_charge
2026-05-31 19:07:37,84.00,linux_sysfs_charge
2026-05-31 19:08:37,85.00,linux_sysfs_charge
2026-05-31 19:09:37,86.00,linux_sysfs_charge
2026-05-31 19:10:37,87.00,linux_sysfs_charge
2026-05-31 19:11:37,88.00,linux_sysfs_charge
2026-05-31 19:12:37,89.00,linux_sysfs_charge
2026-05-31 19:13:37,89.00,linux_sysfs_charge
2026-05-31 19:14:37,90.00,linux_sysfs_charge
2026-05-31 19:15:37,91.00,linux_sysfs_charge
2026-05-31 19:16:37,91.00,linux_sysfs_charge
2026-05-31 19:17:37,92.00,linux_sysfs_charge
2026-05-31 19:18:37,93.00,linux_sysfs_charge
2026-05-31 19:19:37,93.00,linux_sysfs_charge
2026-05-31 19:20:37,93.00,linux_sysfs_charge
2026-05-31 19:21:37,94.00,linux_sysfs_charge
2026-05-31 19:22:37,94.00,linux_sysfs_charge
2026-05-31 19:23:37,95.00,linux_sysfs_charge
2026-05-31 19:24:37,95.00,linux_sysfs_charge
2026-05-31 19:25:37,95.00,linux_sysfs_charge
2026-05-31 19:26:37,96.00,linux_sysfs_charge
2026-05-31 19:27:37,96.00,linux_sysfs_charge
2026-05-31 19:28:37,96.00,linux_sysfs_charge
2026-05-31 19:29:37,96.00,linux_sysfs_charge
2026-05-31 19:30:37,97.00,linux_sysfs_charge
2026-05-31 19:31:37,97.00,linux_sysfs_charge
2026-05-31 19:32:37,97.00,linux_sysfs_charge
2026-05-31 19:33:37,97.00,linux_sysfs_charge
2026-05-31 19:34:37,97.00,linux_sysfs_charge
2026-05-31 19:35:37,98.00,linux_sysfs_charge
2026-05-31 19:36:37,98.00,linux_sysfs_charge
2026-05-31 19:37:37,98.00,linux_sysfs_charge
2026-05-31 19:38:37,98.00,linux_sysfs_charge
2026-05-31 19:39:37,98.00,linux_sysfs_charge
2026-05-31 19:40:37,98.00,linux_sysfs_charge
2026-05-31 19:41:37,99.00,linux_sysfs_charge
2026-05-31 19:42:37,99.00,linux_sysfs_charge
2026-05-31 19:43:37,99.00,linux_sysfs_charge
2026-05-31 19:44:37,99.00,linux_sysfs_charge
2026-05-31 19:45:37,99.00,linux_sysfs_charge
2026-05-31 19:46:37,99.00,linux_sysfs_charge
2026-05-31 19:47:37,99.00,linux_sysfs_charge
2026-05-31 19:48:37,99.00,linux_sysfs_charge
2026-05-31 19:49:37,100.00,linux_sysfs_charge
2026-05-31 19:50:37,100.00,linux_sysfs_charge
2026-05-31 19:51:37,100.00,linux_sysfs_charge
2026-05-31 19:52:37,100.00,linux_sysfs_charge
2026-05-31 19:53:37,100.00,linux_sysfs_charge
2026-05-31 19:54:37,100.00,linux_sysfs_charge
2026-05-31 19:55:37,100.00,linux_sysfs_charge
2026-05-31 19:56:37,100.00,linux_sysfs_charge
2026-05-31 19:57:37,100.00,linux_sysfs_charge
2026-05-31 19:58:37,100.00,linux_sysfs_charge
2026-05-31 19:59:37,100.00,linux_sysfs_charge
2026-05-31 20:00:37,100.00,linux_sysfs_charge
2026-05-31 20:01:37,100.00,linux_sysfs_charge
2026-05-31 20:02:37,100.00,linux_sysfs_charge
2026-05-31 20:03:37,100.00,linux_sysfs_charge
2026-05-31 20:04:37,100.00,linux_sysfs_charge
2026-05-31 20:05:37,100.00,linux_sysfs_charge
2026-05-31 20:06:37,100.00,linux_sysfs_charge
2026-05-31 20:07:37,100.00,linux_sysfs_charge
2026-05-31 20:08:37,100.00,linux_sysfs_charge
2026-05-31 20:09:37,100.00,linux_sysfs_charge
2026-05-31 20:10:37,100.00,linux_sysfs_charge
2026-05-31 20:11:37,100.00,linux_sysfs_charge
2026-05-31 20:12:37,100.00,linux_sysfs_charge
2026-05-31 20:13:37,100.00,linux_sysfs_charge
2026-05-31 20:14:37,100.00,linux_sysfs_charge
2026-05-31 20:15:37,100.00,linux_sysfs_charge
2026-05-31 20:16:37,100.00,linux_sysfs_charge
2026-05-31 20:17:37,100.00,linux_sysfs_charge
2026-05-31 20:18:37,100.00,linux_sysfs_charge
2026-05-31 20:19:37,100.00,linux_sysfs_charge
2026-05-31 20:20:37,100.00,linux_sysfs_charge
2026-05-31 20:21:37,100.00,linux_sysfs_charge
2026-05-31 20:22:37,100.00,linux_sysfs_charge
2026-05-31 20:23:37,100.00,linux_sysfs_charge
2026-05-31 20:24:37,100.00,linux_sysfs_charge
2026-05-31 20:25:37,100.00,linux_sysfs_charge
2026-05-31 20:26:37,100.00,linux_sysfs_charge
2026-05-31 20:27:37,100.00,linux_sysfs_charge
2026-05-31 20:28:37,100.00,linux_sysfs_charge
2026-05-31 20:29:37,100.00,linux_sysfs_charge
2026-05-31 20:30:37,100.00,linux_sysfs_charge
2026-05-31 20:31:37,100.00,linux_sysfs_charge
2026-05-31 20:32:37,100.00,linux_sysfs_charge
2026-05-31 20:33:37,100.00,linux_sysfs_charge
2026-05-31 20:34:37,100.00,linux_sysfs_charge
2026-05-31 20:35:37,100.00,linux_sysfs_charge
2026-05-31 20:36:37,100.00,linux_sysfs_charge
2026-05-31 20:37:37,100.00,linux_sysfs_charge
2026-05-31 20:38:37,100.00,linux_sysfs_charge
2026-05-31 20:39:37,100.00,linux_sysfs_charge
2026-05-31 20:40:37,100.00,linux_sysfs_charge
2026-05-31 20:41:37,100.00,linux_sysfs_charge
2026-05-31 20:42:37,100.00,linux_sysfs_charge
2026-05-31 20:43:37,100.00,linux_sysfs_charge
2026-05-31 20:44:37,100.00,linux_sysfs_charge
2026-05-31 20:45:37,100.00,linux_sysfs_charge
2026-05-31 20:46:37,100.00,linux_sysfs_charge
2026-05-31 20:47:37,100.00,linux_sysfs_charge
2026-05-31 20:48:37,100.00,linux_sysfs_charge
2026-05-31 20:49:37,100.00,linux_sysfs_charge
2026-05-31 20:50:37,100.00,linux_sysfs_charge
2026-05-31 20:51:37,100.00,linux_sysfs_charge
2026-05-31 20:52:37,100.00,linux_sysfs_charge
2026-05-31 20:53:37,100.00,linux_sysfs_charge
2026-05-31 20:54:37,100.00,linux_sysfs_charge
2026-05-31 20:55:37,100.00,linux_sysfs_charge
2026-05-31 20:56:37,100.00,linux_sysfs_charge
2026-05-31 20:57:37,100.00,linux_sysfs_charge
2026-05-31 20:58:37,100.00,linux_sysfs_charge
2026-05-31 20:59:37,100.00,linux_sysfs_charge
2026-05-31 21:00:37,100.00,linux_sysfs_charge
2026-05-31 21:01:50,100.00,linux_sysfs_charge
2026-05-31 21:02:50,100.00,linux_sysfs_charge
